states,tags,notes,date,time
South Carolina,carolina department,South Carolina Department of Revenue ,8/25/14,15:04
South Carolina,,South Carolina Higher EducationTuition Grants Commission ,8/28/15,15:30
South Dakota,department of transportation,South Dakota Department of Transportation ,7/17/14,5:53
South Dakota,development authority,South Dakota Housing Development Authority ,7/17/14,5:54
North Carolina,,STATE EMPLOYEES ASSOCIATION OF NORTH CAROLINA ,9/15/15,17:56
Arizona,department of transportation,"Authorized Service Website for the Arizona Department of Transportation, Motor Vehicle Division ",1/10/14,19:17
North Carolina,,North Carolina State Health Plan for Teachers and State Employees ,7/25/14,15:10
,public health,"State Laboratory of Public Health, NC Division of Public Health ",7/26/13,15:11
South Carolina,,south carolina arts commission ,8/28/15,15:32
South Carolina,historical society,south carolina historical society ,8/28/15,15:32
"Pennsylvania,New York","york state,new york state","Susquehanna River Basin Commission - The Susquehanna River Basin Compact, was signed into law on December 24, 1970. The Compact, as adopted by the Congress of the United States, and the legislatures of New York State, Pennsylvania and Maryland, provides the mechanism to guide the conservation, development, and administration of the water resources of the vast river basin. ",6/26/13,16:30
North Carolina,,"Start Squad, kid's portal to the State Library of North Carolina ",8/25/14,12:12
Alaska,pattern to include,"*state.ak.us pattern to include Alaska state agencies, such as those at: https://www.google.com/#q=site:state.ak.us  ",7/8/14,12:25
Alabama,pattern to include,"*state.al.us pattern to include Alabama state agencies, such as those at: https://www.google.com/#q=site:state.al.us  ",7/8/14,12:26
Arizona,pattern to include,"*state.az.us pattern to include Arizona state agencies, such as those at https://www.google.com/#q=site:state.az.us.  ",12/13/13,13:17
California,pattern to include,"*state.ca.us pattern to include California state agencies, such as those at: https://www.google.com/#q=site:state.ca.us  ",6/27/14,16:14
Florida,pattern to include,"*state.fl.us pattern to include Florida state agencies, such as those at: https://www.google.com/#q=site:state.fl.us   ",6/27/14,16:15
Maryland,pattern to include,"State website is at http://www.maryland.gov. state.md.us pattern to include Maryland state agencies, such as those at https://www.google.com/#q=site:state.md.us. ",7/23/14,16:07
,pattern to include,*.state.ne.us pattern to include several state agencies. ,12/9/13,18:31
New Jersey,pattern to include,"http://www.state.nj.us/ and http://www.nj.gov both resolve to the same site. n*state.nj.us pattern to include New Jersey state agencies, such as those at: https://www.google.com/#q=site:state.nj.us  ",7/8/14,13:04
New Mexico,,State of New Mexico ,7/16/14,5:42
Wyoming,travel and tourism,State of Wyoming travel and tourism website ,7/23/14,5:34
New York,,"Staten Island Borough President, New York, NY ",11/20/13,18:23
